trip_id,trip_number,station_id_depart,station_id_arrive,class_id,train_id,depart_datetime,arrive_datetime
90,3632822215,Hermistonview,South Hiroko,3,9,27-09-2021 23:14,28-09-2021 19:14
91,6146232029,Port Harriettestad,Bufordberg,1,5,08-01-2021 15:01,09-01-2021 10:01
92,7515740511,Wilfredofort,Louannchester,3,5,12-12-2021 05:42,12-12-2021 20:42
93,5349181519,North Logantown,Irvinville,1,3,11-12-2021 08:34,11-12-2021 20:34
94,7203443790,South Kraig,North Gabriel,3,3,29-10-2020 06:24,29-10-2020 14:24
95,4534663104,Katherineborough,Hamillshire,3,18,25-02-2021 14:57,26-02-2021 08:57
96,9726803735,Johniebury,Lake Cristen,2,8,24-03-2022 04:53,25-03-2022 03:53
97,7739158143,South Moises,East Paolaberg,2,8,03-04-2021 08:40,03-04-2021 16:40
98,4011743379,East Georgetta,West Domenic,2,20,05-01-2020 08:19,05-01-2020 15:19
99,3877025649,New Willardmouth,Spencerburgh,2,9,27-01-2021 16:45,28-01-2021 15:45
100,1551169099,Luciushaven,Spencerton,2,7,21-04-2022 11:52,22-04-2022 03:52
101,6655403837,Port Lynn,North Tynisha,1,21,05-03-2022 18:18,06-03-2022 15:18
102,7913348963,Tamiton,East Karleenshire,1,21,01-04-2020 02:57,02-04-2020 01:57
103,6542071568,Osinskiside,Wolffville,3,21,18-11-2021 11:55,19-11-2021 03:55
104,2717944466,Homenickfort,McClureport,3,9,27-12-2021 19:00,27-12-2021 20:00
105,5896179140,South Changfort,Zadastad,2,6,28-01-2022 02:13,28-01-2022 16:13
106,6313620900,South Leonshire,New Analisa,1,6,25-01-2022 05:38,26-01-2022 05:38
107,6503256625,East Charleytown,West Nu,3,7,03-01-2022 06:00,03-01-2022 08:00
108,3909658764,New Erikbury,New Leroychester,1,17,28-11-2020 03:15,28-11-2020 18:15
109,8065371613,East Jerica,Koelpinmouth,2,13,11-06-2021 23:28,12-06-2021 01:28
110,6647399497,Port Antione,Bayerland,2,14,16-06-2021 13:18,17-06-2021 05:18
111,4200212986,Russelstad,East Jessieside,1,14,19-12-2021 02:24,19-12-2021 09:24
112,2931952431,New Merylview,Maxton,2,20,09-04-2020 01:42,09-04-2020 18:42
113,9653482409,Port Brent,East Bretborough,3,17,23-08-2021 03:50,24-08-2021 02:50
114,5150693745,Elliottborough,Kulasland,2,17,14-03-2021 08:33,15-03-2021 07:33
115,1456032088,Nikolausmouth,Wymanview,2,16,09-02-2021 19:18,10-02-2021 07:18
116,5160114105,Silasport,Laviniashire,1,16,09-02-2022 13:51,09-02-2022 16:51
117,9688727350,Parkerview,East Damion,2,11,09-09-2020 17:52,10-09-2020 01:52
118,3991090537,Port Lyndafort,Kristianton,2,11,03-12-2020 14:51,03-12-2020 21:51
119,5392250561,Kaseyburgh,Port Brian,3,6,18-01-2020 05:00,19-01-2020 01:00
120,4499493249,Hickleborough,Marlineborough,3,6,01-05-2021 18:13,02-05-2021 07:13
121,8722626616,North Kathi,Aubreyfort,1,1,29-09-2021 00:02,29-09-2021 21:02
122,4778830124,West Monroe,Walkerfort,1,9,07-06-2021 17:35,08-06-2021 15:35
123,9238540586,South Peterside,West Violeta,1,9,26-12-2021 00:27,26-12-2021 10:27
124,8506492674,West Willaside,Angeliachester,2,20,16-04-2022 19:51,17-04-2022 16:51
125,4293492059,Beattyberg,Raulchester,1,4,02-01-2021 08:14,02-01-2021 09:14
126,6907325848,New Aureliofurt,North Augustusview,2,4,21-06-2021 16:26,22-06-2021 16:26
127,7731549903,New Isaac,New Gerriville,2,3,22-03-2022 09:05,23-03-2022 07:05
128,7614135561,Theodorehaven,Danefort,3,12,07-03-2021 16:02,08-03-2021 04:02
129,7160174378,East Nicolport,Grettafort,3,12,13-08-2021 05:05,14-08-2021 02:05
130,8852377552,Milomouth,Port Rolandotown,1,17,30-03-2020 10:21,30-03-2020 18:21
131,3289901115,Port Marcenehaven,Bogisichside,3,9,18-09-2021 23:31,19-09-2021 16:31
132,6666909707,New Austin,Hermannburgh,1,9,02-02-2021 03:18,02-02-2021 15:18
133,3400055806,Swiftbury,Janayburgh,3,20,04-03-2021 04:10,04-03-2021 08:10
134,9210018968,Marisafurt,Mohammadport,3,18,08-07-2020 04:17,08-07-2020 14:17
135,8352131316,South Rosetta,Port Ismaelbury,1,18,03-03-2022 20:03,03-03-2022 23:03
136,3407963153,West Sol,Hauckside,3,14,14-01-2021 02:24,14-01-2021 16:24
137,6499403928,Coleville,Damientown,1,14,12-09-2021 06:15,12-09-2021 11:15
138,2901074687,East Maud,Schowalterborough,2,13,18-01-2021 21:49,19-01-2021 12:49
139,9776881130,Gordonburgh,West Pearline,3,13,26-01-2021 10:28,27-01-2021 07:28
140,2696542507,West Mike,North Delbert,3,11,28-01-2020 03:03,28-01-2020 07:03
141,1380218485,Daleville,West Charlieport,1,11,01-04-2021 02:18,01-04-2021 16:18
142,2936356522,West Hipolitoton,Port Vasiliki,1,8,14-02-2020 05:38,14-02-2020 11:38
143,8203231670,Santosland,East Irvingmouth,3,8,09-11-2020 20:16,10-11-2020 20:16
144,8651336176,West Maidaview,Gleasonfort,1,13,23-04-2020 11:04,24-04-2020 06:04
145,2196009922,Parkermouth,New Cornellborough,3,11,14-02-2022 20:37,15-02-2022 01:37
146,8132669509,New Lorenville,East Kareemville,2,11,06-08-2020 04:11,06-08-2020 20:11
147,6373562967,Gleasonview,West Wesley,2,6,02-03-2022 06:38,02-03-2022 12:38
148,6022236731,Murraystad,Prestonside,2,6,01-07-2020 02:36,01-07-2020 18:36
149,7918580400,New Meryl,Port Enriquefort,2,19,23-10-2020 16:32,23-10-2020 18:32
150,2537480634,West Wilfred,Crooksview,3,21,27-03-2020 17:41,28-03-2020 16:41
151,9431901724,East Kentmouth,New Jacelyn,3,4,30-12-2021 18:01,31-12-2021 09:01
152,6675292031,North Miesha,Beaulahmouth,3,21,11-03-2021 21:03,12-03-2021 17:03
153,2464130612,West Neilton,South Demarcusstad,3,21,02-08-2021 17:12,02-08-2021 20:12
154,2374155412,Port Lamontport,Auerfort,2,20,02-10-2020 11:11,03-10-2020 07:11
155,7094238778,Yundtstad,Leandroberg,2,8,11-09-2020 15:16,12-09-2020 07:16
156,8908921608,Daughertyfort,West Alan,1,16,13-04-2020 06:05,14-04-2020 05:05
157,9771941100,Lake George,North Darron,3,11,10-06-2020 06:57,10-06-2020 16:57
158,5554186869,Port Todstad,Hoegerview,1,2,02-09-2021 00:30,02-09-2021 10:30
159,8729069082,West Ken,North Marxville,2,2,14-09-2020 21:15,15-09-2020 17:15
160,4313422482,Gerholdbury,Lazaroshire,2,8,15-04-2020 14:42,16-04-2020 12:42
161,2193128517,Port Hugo,Sawaynside,2,2,11-02-2022 07:48,11-02-2022 14:48
162,4526009239,South Corliss,Archieville,3,2,30-12-2021 00:09,30-12-2021 06:09
163,1457457658,North Joanhaven,North Jesus,1,19,01-06-2021 18:15,02-06-2021 06:15
164,8382970162,Port Ionebury,Nolanbury,3,2,10-02-2022 13:33,10-02-2022 14:33
165,7074923790,Smithton,Reingertown,3,2,27-09-2020 03:52,27-09-2020 13:52
166,4004478010,Vaughnborough,VonRuedenfurt,1,6,11-02-2022 03:46,11-02-2022 12:46
167,1203919994,West Dexter,East Tatumburgh,3,13,29-06-2020 06:40,29-06-2020 08:40
168,7181493294,East Shelby,Port Shandraville,2,21,15-03-2020 12:20,16-03-2020 11:20
169,7477003897,East Santiago,Wiegandview,3,21,23-02-2021 09:20,23-02-2021 22:20
170,8433811062,North Joeberg,East Kirk,1,6,22-09-2021 07:39,23-09-2021 05:39
171,7222646092,New Robert,Grantton,2,6,23-10-2020 07:19,24-10-2020 02:19
172,7748943225,South Dinostad,Lake Collentown,3,15,10-04-2021 06:11,11-04-2021 02:11
173,9447388363,South Ozie,Onashire,1,4,15-04-2021 19:56,16-04-2021 05:56
174,8785904509,East Sandytown,Port Joye,3,4,19-06-2020 15:48,19-06-2020 22:48
175,8929337826,North Bretland,Olsonside,3,3,29-07-2021 04:27,29-07-2021 23:27
176,7651423442,Noellaburgh,Billhaven,1,3,03-09-2020 08:23,04-09-2020 08:23
177,6221547352,Lizzieberg,Araceliberg,2,22,26-09-2020 20:51,27-09-2020 11:51
178,6503191524,East Billie,Felixtown,1,16,11-08-2020 12:34,11-08-2020 14:34
179,7078777565,Ritchiebury,New Keneth,2,9,30-07-2021 06:38,31-07-2021 02:38
180,6033474954,Risaville,East Autumnhaven,2,8,01-03-2020 14:13,02-03-2020 08:13
181,6963211147,Denesikview,West Reanna,2,13,07-02-2020 10:55,08-02-2020 07:55
182,5586819604,East Chante,West Katlynmouth,1,13,16-04-2021 09:24,17-04-2021 07:24
183,8489720075,Lake Glady,Willmouth,1,13,26-04-2020 05:42,27-04-2020 03:42
184,5339412361,North Stacie,Port Thurman,2,8,13-07-2020 16:08,13-07-2020 17:08
185,4549429055,East Morrisview,North Karisahaven,3,20,22-06-2021 14:33,22-06-2021 15:33
186,6606274764,Reneashire,Adanstad,3,20,03-03-2022 10:57,04-03-2022 01:57
187,6556978483,West Phylissshire,Willmsview,2,10,18-04-2020 10:00,18-04-2020 22:00
188,1374717554,Edenmouth,Port Mitchell,2,10,26-04-2020 14:00,27-04-2020 11:00
189,1179991751,Milofurt,Yaelfurt,2,17,29-05-2020 02:02,30-05-2020 00:02
190,8822374149,Millsberg,Port Suzetteberg,2,17,03-10-2020 16:14,04-10-2020 06:14
191,1598861488,Millsshire,Bergstromhaven,3,6,05-03-2021 23:50,06-03-2021 16:50
192,5773536134,Homenickmouth,Lisandraburgh,3,6,21-09-2020 02:13,21-09-2020 23:13
193,5300594979,Manuelland,Francoisefort,2,6,30-01-2022 03:53,30-01-2022 12:53
194,5023786871,Hoppefort,Yanfurt,2,6,20-05-2020 21:36,21-05-2020 05:36
195,6542252068,Lake Deanfurt,North Burlhaven,2,6,18-12-2021 20:02,19-12-2021 13:02
196,9599015570,New Jordonton,North Asha,2,10,06-08-2021 00:23,06-08-2021 23:23
197,1239815630,South Piperchester,Port Cathrynland,1,20,02-06-2020 06:02,03-06-2020 04:02
198,3150885424,East Aaron,Gennaland,2,20,21-09-2021 20:29,22-09-2021 19:29
199,5614519469,Schmidtmouth,Solomonside,3,8,03-05-2022 16:30,04-05-2022 04:30
200,5482135534,Jonport,North Latriciaberg,1,6,31-08-2020 04:44,01-09-2020 00:44
201,9962080511,South Omegafort,New Thustad,3,6,07-10-2021 07:11,07-10-2021 17:11
202,9884623569,Tristanborough,New Dulcieside,2,7,22-11-2021 03:17,22-11-2021 04:17
203,7790357058,Naderbury,Julioview,3,7,02-03-2022 07:56,02-03-2022 17:56
204,1019877950,Schaefertown,New Lionel,3,10,26-02-2022 12:16,26-02-2022 21:16
205,8856251996,East Sylviaberg,Port Raymond,1,10,03-10-2020 13:54,04-10-2020 02:54
206,8694470476,Valentineview,South Jorgefurt,3,18,07-08-2021 09:29,08-08-2021 09:29
207,7767489463,Lake Arthurburgh,East Chris,1,1,10-02-2021 05:47,10-02-2021 13:47
208,4528396019,North Mitsueborough,Priscillachester,2,1,20-06-2020 02:12,20-06-2020 04:12
209,2560746053,Schummland,Port Margeryhaven,3,19,02-10-2021 08:48,02-10-2021 20:48
210,8746790780,Derickmouth,Carlenaberg,1,14,06-04-2021 19:24,07-04-2021 13:24
211,9298639013,West Rudolph,Shanahanport,3,14,18-07-2021 13:26,19-07-2021 07:26
212,2631033569,Alhaven,Torphybury,1,8,22-11-2020 21:48,23-11-2020 20:48
213,3266883463,Abernathyfurt,Lake Abdul,2,8,01-09-2020 13:35,02-09-2020 07:35
214,8741762802,Lake Eliasview,Alphonseside,2,11,12-02-2020 10:59,12-02-2020 20:59
215,2015928231,Hershelborough,Hodkiewiczburgh,2,11,12-09-2020 02:47,12-09-2020 06:47
216,9590722711,Mosciskitown,East Candance,2,2,29-03-2021 16:43,29-03-2021 17:43
217,2289728425,Donteshire,Port Meghannberg,3,2,13-11-2020 18:44,14-11-2020 08:44
218,4825513057,Donovanmouth,Lake Toccara,2,3,17-05-2020 00:41,17-05-2020 11:41
219,8344104935,Shanahanfurt,Port Dierdretown,3,3,17-10-2021 23:53,18-10-2021 07:53
220,4844173989,South Trevorville,Heidenreichport,2,5,15-06-2021 22:51,16-06-2021 04:51
221,6731141721,Donnhaven,Franciscoborough,2,5,06-11-2020 05:09,07-11-2020 05:09
222,4845715013,Phylisberg,New Brandenton,3,3,04-03-2022 12:12,04-03-2022 21:12
223,8973259721,Lake Amos,Ralphton,3,3,14-07-2021 07:54,14-07-2021 10:54
224,7131478091,Colliershire,Bayerchester,3,5,18-11-2020 19:17,19-11-2020 09:17
225,4907515532,North Genaroberg,Gleasonland,3,5,20-07-2020 18:16,21-07-2020 02:16
226,5468728736,East Florencio,East Milford,3,3,14-11-2020 19:53,15-11-2020 04:53
227,8461402980,Kertzmannberg,Starmouth,1,17,28-11-2020 05:16,29-11-2020 02:16
228,9333547360,Lake Floyd,North Calvin,1,17,16-09-2020 07:09,16-09-2020 11:09
229,6956300503,Dooleyfort,Annemouth,1,19,06-04-2021 19:29,07-04-2021 04:29
230,8150285276,Armandobury,Port Sylvie,1,19,01-07-2020 15:59,02-07-2020 05:59
231,4053613493,East Antoniastad,Bookerchester,1,2,29-03-2022 05:21,29-03-2022 09:21
232,3057892595,New Ellsworthchester,Port Randybury,2,19,15-01-2021 14:11,16-01-2021 01:11
233,3612400140,Lake Deb,Lake Ricky,1,19,19-03-2020 18:23,20-03-2020 05:23
234,4702146030,Alfredmouth,Kyongton,1,4,06-10-2020 07:14,06-10-2020 17:14
235,5283629226,Donovanfurt,East Lea,2,4,06-12-2020 16:43,07-12-2020 07:43
236,6644486716,South Karlyberg,Sporerchester,2,22,31-10-2020 15:44,01-11-2020 01:44
237,6339421196,Oberbrunnertown,North Halhaven,3,19,02-02-2021 00:03,02-02-2021 08:03
238,3514456926,Rebbecaport,Homerburgh,2,19,24-03-2021 04:40,25-03-2021 00:40
239,1865710247,South Kennithfurt,Quentinville,2,4,27-04-2021 15:23,28-04-2021 15:23
240,7734614131,Roobmouth,Swiftburgh,1,20,23-06-2021 13:04,23-06-2021 22:04
241,1318271863,Calvinville,Walshland,3,20,23-08-2021 23:25,24-08-2021 09:25
242,9305527278,East Lane,Lake Sidfort,2,9,31-07-2020 05:05,31-07-2020 07:05
243,4391299765,Grahamburgh,Lake Tawanda,1,9,13-02-2020 13:34,13-02-2020 23:34
244,8479831538,Binsmouth,Port Charissaville,1,20,05-11-2021 13:22,05-11-2021 16:22
245,2384912997,Miguelmouth,Lake Troy,2,10,03-08-2021 20:46,04-08-2021 03:46
246,2044156814,New Colin,Port Adalberto,2,6,05-04-2020 03:13,06-04-2020 03:13
247,2674830251,Ramonitaside,Michafurt,2,6,17-05-2021 05:30,18-05-2021 02:30
248,7226049626,Dillonmouth,Lake Betseyborough,2,5,09-02-2020 13:52,10-02-2020 04:52
249,5857564462,Port Chester,New Pearleneshire,3,5,07-10-2021 23:36,08-10-2021 11:36
250,6425194756,Drucillaside,Port Sharolyn,3,1,20-04-2022 21:56,21-04-2022 14:56
251,4191157729,South Mao,South Dawneburgh,2,1,11-08-2021 20:05,11-08-2021 21:05
252,2781926091,Port Alejandrashire,Lehnerside,3,1,29-10-2020 01:02,29-10-2020 17:02
253,5812217981,Robenaport,Lake Melanyton,1,21,25-12-2021 07:06,25-12-2021 11:06
254,1343515066,West Donnland,Kendrickmouth,3,21,11-09-2021 21:32,12-09-2021 18:32
255,3179637541,West Cecilemouth,Lake Mauricefurt,2,14,27-11-2021 09:13,28-11-2021 00:13
256,3705507985,South Todberg,Moenside,2,20,01-04-2020 19:46,01-04-2020 23:46
257,2672110914,Lake Jackeline,Hillsmouth,1,9,22-10-2021 04:08,22-10-2021 06:08
258,8892395830,Oberbrunnermouth,Janelville,3,10,22-08-2020 07:55,22-08-2020 22:55
259,7362389248,Cliffburgh,Bechtelarville,1,5,15-03-2020 08:55,16-03-2020 04:55
260,7973290790,Dellton,Lake Lyndon,3,21,14-11-2021 15:41,14-11-2021 19:41
261,4074203156,East Margarettmouth,Kulashaven,2,5,20-06-2020 19:06,21-06-2020 19:06
262,8185247302,Clintonchester,Latinafort,2,5,30-06-2021 08:12,01-07-2021 01:12
263,3563204015,South Sheldonfurt,North Fredside,1,4,13-06-2020 16:23,13-06-2020 19:23
264,9127403762,Lake Clement,McClureville,2,4,07-06-2020 12:46,08-06-2020 01:46
265,9078153090,Teressashire,East Gertie,2,2,14-07-2020 10:59,14-07-2020 16:59
266,9076399920,Heathport,Rebatown,2,2,23-11-2020 18:00,24-11-2020 07:00
267,8102045492,Heathcoteside,Lake Jerrellville,1,13,10-03-2021 16:21,10-03-2021 21:21
268,4204228839,West Leonila,East Denice,1,20,06-09-2020 07:30,07-09-2020 05:30
269,2919197122,Ameliaport,North Michael,2,20,02-10-2020 13:32,02-10-2020 21:32
270,3130699412,North Paul,New Roosevelt,1,18,08-09-2020 09:36,08-09-2020 22:36
271,5848436517,North Michaeleshire,Connview,2,22,27-05-2020 20:24,28-05-2020 19:24
272,8740102649,Warrenbury,Balistreriburgh,2,22,12-09-2020 11:23,12-09-2020 12:23
273,4641362107,North Saturninaville,Kuhicfurt,3,4,05-07-2020 09:34,05-07-2020 22:34
274,2977191900,South Tamika,Port Davidamouth,1,4,25-10-2020 17:09,26-10-2020 06:09
275,4901528111,North Stacey,Barneyhaven,1,8,05-12-2020 09:35,05-12-2020 16:35
276,4772432342,West Magnoliaview,Bennymouth,3,7,25-08-2021 10:42,26-08-2021 05:42
277,2177050682,Oneidaside,New Aliborough,3,7,15-09-2021 02:57,15-09-2021 06:57
278,4288091550,Kevenbury,Crooksside,3,18,12-11-2021 06:44,12-11-2021 14:44
279,2388904239,Cruickshankburgh,East Rima,3,15,18-09-2020 04:40,19-09-2020 01:40
280,4328308383,Port Bernardatown,Port Jackie,3,10,13-05-2022 08:59,13-05-2022 18:59
281,3619750619,Lynchview,Billside,1,10,27-12-2020 19:32,28-12-2020 01:32
282,2416812521,East Oleta,North Christiana,3,5,12-11-2020 08:50,12-11-2020 18:50
283,6022969419,Port Guadalupe,Jaskolskiland,1,5,21-09-2021 04:47,22-09-2021 04:47
284,5428349268,Sporerbury,Lefflermouth,1,18,09-01-2021 15:21,10-01-2021 02:21
285,1885198865,South Titus,New Weshaven,1,4,04-07-2021 23:58,05-07-2021 03:58
286,6860656471,Rhiannonstad,Danberg,3,4,24-06-2021 19:22,25-06-2021 09:22
287,3327719235,Archiemouth,Schultzchester,2,2,16-03-2020 03:42,16-03-2020 12:42
288,7982457413,North Yan,North Theo,2,2,22-03-2021 18:03,23-03-2021 09:03
289,6103536530,New Loritaview,North Stewart,3,4,29-06-2021 00:02,29-06-2021 20:02
290,6441590311,East Emely,Wintheiserland,2,4,25-02-2022 10:47,25-02-2022 16:47
291,9580802419,South Christiamouth,Fisherville,2,12,20-02-2021 08:53,21-02-2021 04:53
292,7190629451,Beckermouth,North Tayna,1,19,16-04-2021 17:18,17-04-2021 02:18
293,7126314124,Kuhictown,Vinceborough,2,19,20-02-2021 11:12,20-02-2021 15:12
294,7196350566,South Samual,Port Noemi,3,12,17-05-2022 07:54,17-05-2022 23:54
295,8955344628,Walkerton,Leonardton,3,12,07-06-2021 02:11,07-06-2021 13:11
